Contributor,Commits,Added,Deleted,Repos
gipawu,11,139,89,2
illwieckz,11,116,46,1
rndevfx,11,97,68,1
jiri-one,11,224,125,1
borgmanJeremy,11,589,552,1
lovetox,11,176,130,1
timway,11,207,102,1
bjorn,11,26,29,1
ILightburn,11,708,395,1
SolarLiner,11,69,103,1
benwaffle,11,116,48,1
john-preston,11,80,617,1
Elijahrane,11,2411,123,1
junglerobba,10,55,45,2
pwithnall,10,59,12,7
gigitux,10,57,13,1
LyesSaadi,10,543,194,1
fabiocolacio,10,10,49,1
kalibari,10,88,33,1
danilown,10,449,372,2
treagod,10,117,27,1
prcastro,10,475,110,3
maevemi,10,136,71,1
johanfleury,10,345,15,1
JetpackDuba,10,120,27,1
mjakeman,10,207,123,1
dschier-wtd,10,96,28,1
balcsida,10,209,13,2
ineol,10,710,252,1
gregos-winus,10,221,26,1
ThanosApostolou,10,209,35,2
selmf,10,558,53,1
ChrisHal,10,300,14,1
marlam,10,424,90,3
jannuary,10,36,85,3
fgrabenstaetter,10,52,17,1
srevinsaju,10,2487,307,6
gholmlund,10,105,75,1
roshanshariff,10,80,78,1
vardle,10,20,20,1
Dretch,10,5654,4539,1
benini,10,1334,1211,1
sithlord48,10,549,387,2
nroduit,10,1727,5788,1
robschi,10,167,106,1
hipersayanX,10,241,124,1
MayeulC,10,149,28,1
saytamkenorh,10,308,146,1
virxkane,10,293,218,1
joao-p-marques,10,191,28,1
SegHaxx,10,218,173,1
giuspen,10,304,43,1
nadiaholmquist,10,575,386,1
NikolasK-source,10,230,124,1
blast007,10,53,25,1
NeroBurner,10,58,77,2
Garbulix,10,33,23,1
diegogangl,10,144,25,1
hnm-duncan,10,467,163,1
anthr76,10,361,233,1
mogwa1,10,129,23,2
mbasaglia,10,50,12,1
JanisV,10,177,49,1
BeagleJoe,10,228,219,1
Dragoncraft89,10,266,10,1
